tokenizer,language,sentence_cost_vs_english,word_metric_vs_english,grapheme_metric_vs_english,byte_metric_vs_english
gpt2,eng_Latn,1.0,1.0,1.0,1.0
gpt2,hin_Deva,7.420795740275107,6.337903034269201,11.392821185722452,2.904991521748762
gpt2,kan_Knda,13.584011240940688,18.478473924710684,19.836315050425238,4.780702211810864
gpt2,tam_Taml,15.536570034018638,20.284138319823672,20.559734879360064,4.867524648602999
gpt2,tel_Telu,12.969531134447568,16.769730864065185,22.3534570466194,4.84425250377052
xlm-roberta-base,eng_Latn,1.0,1.0,1.0,1.0
xlm-roberta-base,hin_Deva,1.2465673004794362,1.0646597686620183,1.9137999275808752,0.4879891006200577
xlm-roberta-base,kan_Knda,1.3521737712403379,1.8393762586294806,1.9745378926370454,0.4758785916959876
xlm-roberta-base,tam_Taml,1.3487492254003457,1.7608916116538285,1.784816496321668,0.4225559492890393
xlm-roberta-base,tel_Telu,1.3167215681158475,1.702533892035965,2.269417352880169,0.49180897034683213
