tokenizer,language,sentences,total_tokens,total_whitespace_words,total_grapheme_clusters,total_utf8_bytes,tokens_per_whitespace_word,tokens_per_grapheme_cluster,tokens_per_utf8_byte,tokens_per_parallel_sentence,mean_line_tokens_per_word
gpt2,eng_Latn,1012,27044,21901,131966,132096,1.2348294598420164,0.2049315732840277,0.2047298934108527,26.723320158102766,1.2444278318059754
gpt2,hin_Deva,1012,200688,25643,85957,337439,7.826229380337714,2.334748769733704,0.5947386046070549,198.3083003952569,7.866525687932701
gpt2,kan_Knda,1012,367366,16100,90371,375341,22.81776397515528,4.065087251441281,0.9787526542530659,363.0098814229249,23.017987645969463
gpt2,tam_Taml,1012,420171,16775,99724,421635,25.047451564828613,4.213338815129758,0.9965278024831904,415.1887351778656,25.250813651258785
xlm-roberta-base,eng_Latn,1012,30661,21901,131966,132096,1.3999817359937903,0.23234014821999607,0.23211149467054262,30.297430830039527,1.4126251064325934
xlm-roberta-base,hin_Deva,1012,38221,25643,85957,337439,1.4905042311741996,0.44465255883755833,0.1132678795278554,37.76778656126482,1.50559770653861
xlm-roberta-base,kan_Knda,1012,41459,16100,90371,375341,2.5750931677018634,0.4587644266412898,0.11045689120026855,40.96739130434783,2.6033275401237344
xlm-roberta-base,tam_Taml,1012,41354,16775,99724,421635,2.46521609538003,0.4146845293008704,0.09808009297140892,40.86363636363637,2.4851974978278006
